Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
1,"team904 北京大学",11,17:21:44,00:41:39,00:34:41,"01:12:39 (-1)",,"02:13:01 (-3)","01:37:38 (-1)","02:47:25 (-1)",00:12:44,"00:27:00 (-1)",00:52:56,"00:10:01 (-1)","03:32:00 (-1)"
2,"team611 衢州第二中学",11,19:09:06,00:55:41,"00:35:34 (-2)",01:29:24,(-1),"03:15:23 (-1)",00:57:18,"02:15:16 (-5)",00:32:24,00:46:38,00:54:53,"00:08:55 (-3)",03:37:40
3,"team902 北京大学",9,15:30:15,"00:30:07 (-1)",01:19:30,"00:59:21 (-1)",,(-15),01:37:39,(-5),"00:33:37 (-1)","01:09:10 (-3)",01:41:42,"00:24:48 (-2)","03:14:21 (-4)"
4,"team104 南京外国语学校",8,14:27:55,,"00:38:14 (-2)",04:21:01,,,02:59:13,"02:11:43 (-3)",00:21:43,00:48:08,01:00:27,"00:07:26 (-1)",
5,"team293 南方科技大学",8,16:37:43,04:40:43,00:14:51,"03:51:01 (-2)",,,03:36:36,(-6),00:28:50,"00:41:25 (-1)","01:15:21 (-2)",00:08:56,
6,"team620 绍兴一中",8,17:35:01,"04:31:51 (-2)","01:18:52 (-2)","02:32:50 (-1)",,,01:24:41,,00:22:54,"00:51:48 (-2)","02:11:18 (-1)","00:40:47 (-3)",
7,"team260 北京理工大学",8,18:32:01,"04:28:32 (-3)","01:15:17 (-1)",03:35:12,,,03:16:07,,00:31:56,00:36:42,"01:47:42 (-2)","00:20:33 (-2)",
8,"team1053 中山市中山纪念中学",8,23:32:30,04:35:52,"01:55:45 (-4)","04:12:23 (-1)",,(-36),"03:05:23 (-1)",(-1),01:11:50,"01:26:32 (-2)","02:26:48 (-2)","00:57:57 (-1)",
9,"team050 东北大学",7,09:07:50,01:14:39,"00:54:14 (-2)",(-1),,(-1),02:34:57,,00:17:16,00:12:37,"02:17:55 (-1)","00:16:12 (-1)",(-1)
10,"team882 复旦大学",7,10:01:21,03:22:04,00:46:06,02:18:01,,,,(-1),00:24:53,"00:29:47 (-2)",01:29:42,"00:10:48 (-1)",
11,"team883 复旦大学",7,10:17:24,"01:43:19 (-1)","00:58:45 (-1)",,,,03:30:59,(-5),00:27:22,00:33:37,02:05:39,00:17:43,
12,"team103 南京外国语学校",7,11:24:21,(-8),00:29:43,"02:07:39 (-3)",,,03:07:05,,00:21:32,"00:45:14 (-6)",00:32:42,"00:40:26 (-1)",
13,"team903 北京大学",7,12:15:34,01:43:33,"00:15:46 (-1)",,,,"04:13:21 (-2)",,"00:22:49 (-1)","00:56:13 (-3)",01:06:11,"00:37:41 (-2)",
14,"team871 复旦大学",7,13:32:25,"04:40:11 (-2)","00:57:27 (-1)","02:32:57 (-3)",,,,,00:16:15,00:39:29,02:14:14,00:11:52,
15,"team304 北京邮电大学",7,13:53:41,03:09:47,"01:03:35 (-2)",,,,04:04:09,,"00:36:55 (-1)","00:38:20 (-2)",02:28:17,00:12:38,
16,"team294 南方科技大学",7,14:50:09,"03:37:54 (-1)","01:07:41 (-1)","04:42:16 (-2)",,,,,"00:20:14 (-1)",00:37:36,02:31:13,00:13:15,
17,"team1024 高老师训练营（中学）",7,15:03:13,(-4),00:40:10,"03:50:47 (-10)",,,"02:17:54 (-1)",,00:08:44,00:21:50,"02:31:43 (-2)","00:12:05 (-2)",
