Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013
1,"team901 北京大学",12,17:39:17,(-3),"01:11:52 (-2)",02:48:01,00:34:18,"00:53:19 (-2)",00:23:29,01:38:17,00:17:20,"01:44:29 (-1)",01:00:46,00:12:32,"04:40:00 (-1)",00:14:54
2,"team101 南京外国语学校",12,24:11:36,02:36:20,"00:28:43 (-1)",(-10),"01:00:44 (-2)","02:06:39 (-7)","00:04:13 (-1)","02:12:31 (-1)",00:23:13,"02:10:33 (-2)",01:12:48,"00:09:58 (-3)","04:22:34 (-5)",00:03:20
3,"team902 北京大学",12,25:45:02,"02:36:08 (-1)","02:11:15 (-6)",(-8),01:34:06,"01:34:17 (-3)",00:28:00,03:05:33,00:40:18,"04:08:09 (-1)","01:41:33 (-2)",00:20:49,02:49:51,00:15:03
4,"team956 杭州第二中学",11,16:50:38,"03:24:51 (-2)","02:00:47 (-1)",(-3),00:41:15,00:51:56,00:28:41,"02:30:50 (-1)",01:06:38,01:38:58,02:17:28,00:11:26,,00:17:48
5,"team951 杭州第二中学",11,16:52:01,"03:58:29 (-3)","01:36:24 (-5)",,00:13:26,"00:34:47 (-1)",00:29:09,02:37:33,"00:58:17 (-1)",01:05:11,01:31:46,00:05:32,,00:21:27
6,"team611 衢州第二中学",11,21:48:31,04:35:08,00:56:20,,01:13:18,"01:13:03 (-2)",00:29:32,03:56:53,00:38:15,"03:50:42 (-5)",01:42:02,"00:19:17 (-1)",,00:14:01
7,"team478 长沙市长郡中学",11,23:46:25,(-5),01:11:21,"04:52:57 (-7)",00:50:58,"01:18:34 (-2)",00:18:41,04:18:50,00:42:36,"03:17:17 (-1)","02:16:20 (-2)",00:06:23,,"00:12:28 (-1)"
8,"team1024 高老师训练营（中学）",11,25:14:53,04:53:49,"01:14:07 (-10)",(-15),01:03:12,"01:23:13 (-1)","00:22:18 (-1)","04:34:08 (-1)",00:38:49,"02:17:07 (-4)",02:40:31,00:06:35,,00:21:04
9,"team1052 中山市中山纪念中学",11,31:49:42,"04:01:06 (-2)","02:08:04 (-2)",(-1),"01:52:01 (-4)","02:47:54 (-4)",00:23:57,04:46:24,02:59:24,"01:38:32 (-3)","04:08:11 (-1)","00:26:46 (-3)",(-1),00:17:23
10,"team104 南京外国语学校",10,16:33:32,,"01:21:19 (-3)",,"00:56:44 (-2)","01:15:42 (-2)",00:13:35,03:42:03,"00:45:52 (-3)","02:20:45 (-1)",01:44:41,00:18:16,,00:14:35
11,"team408 厦门双十中学",10,18:23:45,,"01:47:05 (-7)",,"01:27:02 (-1)","00:42:26 (-2)","00:13:54 (-2)","04:08:03 (-1)",00:51:30,"01:51:45 (-3)",00:30:06,"00:27:25 (-2)",,00:24:29
12,"team540 北京交通大学",10,19:51:35,,"01:21:02 (-4)",,"01:45:35 (-3)","02:34:27 (-2)",00:19:07,02:34:02,00:55:42,"04:31:34 (-1)","01:51:40 (-1)",00:12:24,,00:06:02
13,"team050 东北大学",10,20:22:55,,"01:24:01 (-3)",,"01:03:10 (-1)","01:56:33 (-2)",00:29:33,04:58:44,00:45:42,"03:15:46 (-3)",02:30:54,"00:04:58 (-2)",,00:13:34
14,"team1029 金陵中学河西分校",10,20:33:56,,"01:32:13 (-1)",,"02:40:41 (-4)","01:09:56 (-2)",00:20:17,04:06:56,01:30:56,"02:01:43 (-2)",03:34:05,00:10:42,(-1),00:26:27
15,"team1049 长沙市长郡中学",10,22:27:23,02:14:15,"02:55:24 (-10)",(-4),"01:24:34 (-5)","02:01:34 (-5)",00:39:45,,00:35:46,02:32:23,02:54:16,00:08:18,(-2),00:21:08
16,"team621 海亮高级中学",10,23:12:37,,00:57:33,,"02:28:40 (-3)","02:06:47 (-6)",00:40:53,04:41:00,00:33:13,"03:43:09 (-5)",02:41:07,"00:07:06 (-1)",(-7),00:13:09
17,"team882 复旦大学",10,23:43:31,,"02:18:33 (-2)",,"02:57:20 (-1)","02:12:25 (-5)","00:57:42 (-1)",00:44:46,"01:39:44 (-1)",04:08:50,"03:50:13 (-2)","00:10:51 (-1)",,00:23:07
18,"team811 重庆市育才中学",10,27:53:31,,"01:57:03 (-1)","03:26:44 (-7)",01:15:46,"03:21:39 (-3)",00:30:26,,02:12:11,"04:52:19 (-3)","04:28:03 (-1)","00:11:42 (-1)",,00:17:38
19,"team953 杭州第二中学",10,34:22:51,(-2),01:31:15,,"03:14:04 (-25)","02:25:31 (-5)","00:33:38 (-3)",03:35:49,"01:00:02 (-1)","04:34:30 (-3)","03:17:18 (-2)","00:21:53 (-1)",,00:28:51
20,"team952 杭州第二中学",9,13:25:59,,"00:55:49 (-2)",,"01:38:13 (-1)","01:30:06 (-1)",00:38:01,01:55:09,"01:03:16 (-1)",,"02:10:45 (-2)","00:30:38 (-1)",,00:24:02
21,"team293 南方科技大学",9,15:14:53,(-7),"01:50:03 (-1)",,"01:48:26 (-1)",00:50:38,00:39:06,,01:28:56,"02:41:23 (-2)","03:18:09 (-2)",00:12:28,,00:25:44
22,"team193 东莞中学松山湖学校",9,17:42:10,,"01:10:25 (-3)",,"01:49:29 (-1)","00:44:28 (-2)","00:56:58 (-5)","02:50:16 (-1)",00:58:39,,"01:38:53 (-3)","00:16:45 (-3)",,01:16:17
23,"team102 南京外国语学校",9,18:02:45,,"01:07:32 (-1)",,"01:29:44 (-3)","03:11:14 (-5)","00:45:21 (-1)","03:43:08 (-1)",00:59:16,(-3),01:58:17,"00:22:06 (-1)",(-3),00:26:07
24,"team1039 南京市第一中学",9,18:22:38,,"02:08:16 (-2)",,"02:56:37 (-1)","01:22:30 (-2)",00:28:46,,00:38:15,"04:36:54 (-2)",03:22:24,00:11:39,,00:17:17
25,"team294 南方科技大学",9,18:31:05,04:38:11,"01:38:11 (-2)",,"01:28:07 (-2)","01:58:43 (-1)",01:10:41,,00:37:22,,"02:57:59 (-1)","00:25:27 (-3)",,00:36:24
26,"team1001 杭州电子科技大学",9,20:47:28,,"02:56:59 (-6)",,00:44:39,"01:08:08 (-2)",01:24:36,"04:35:26 (-2)","02:29:39 (-1)",,03:18:22,00:08:12,,00:21:27
27,"team128 南京外国语学校",9,21:23:44,,"01:43:27 (-4)",,"03:28:15 (-1)","02:31:25 (-2)","00:37:33 (-3)",,00:53:34,"02:31:56 (-2)","04:05:22 (-2)","00:15:03 (-1)",,00:17:09
28,"team1053 中山市中山纪念中学",9,21:32:35,,"01:31:36 (-5)",,"01:38:13 (-4)","03:07:12 (-12)",00:26:29,(-1),00:18:56,"02:40:14 (-2)","02:59:12 (-2)",00:16:55,,00:13:48
29,"team804 哈尔滨工业大学",9,21:39:17,,"02:05:38 (-3)",,"01:57:14 (-1)","03:17:02 (-4)","00:24:03 (-1)","04:05:16 (-1)",00:46:43,,"03:56:01 (-2)",00:17:35,,"00:29:45 (-1)"
30,"team1003 杭州电子科技大学",9,22:49:24,,"01:26:21 (-1)",,"03:26:13 (-1)","02:56:17 (-3)",00:48:18,04:44:05,02:44:58,,04:06:46,"00:24:17 (-1)",,00:12:09
31,"team620 绍兴一中",9,23:28:34,,"01:52:31 (-5)",,"02:50:33 (-4)","02:53:12 (-1)",00:43:35,,01:21:43,"04:31:16 (-5)",03:20:42,"00:10:30 (-1)",,00:24:32
32,"team954 杭州第二中学",9,23:57:18,,"02:37:26 (-2)",,"04:02:09 (-1)","01:17:15 (-1)",00:48:09,"04:21:26 (-1)","02:38:21 (-5)","03:11:31 (-1)",(-5),"00:24:53 (-1)",,00:36:08
33,"team260 北京理工大学",9,26:36:41,,"01:49:49 (-3)",,"03:01:41 (-3)","03:53:41 (-7)",00:30:35,,"00:57:26 (-1)","04:56:57 (-3)","04:20:12 (-3)",00:10:12,,00:16:08
34,"team871 复旦大学",9,27:00:12,,"02:22:12 (-4)",,04:23:56,"03:21:52 (-3)","00:29:59 (-1)",04:24:43,"02:27:06 (-4)",,04:50:42,00:20:47,,00:18:55
35,"team123 南京外国语学校",9,28:54:53,,"01:27:43 (-9)",,"02:40:19 (-1)","02:37:25 (-1)",01:59:05,,02:51:51,"04:59:01 (-10)",03:04:02,"00:39:40 (-1)",,01:15:47
36,"team1007 杭州电子科技大学",9,29:07:16,,"02:17:40 (-4)",,"01:54:35 (-1)",03:15:01,"02:34:13 (-3)",04:56:51,"03:36:48 (-2)",,04:32:29,"00:33:23 (-2)",,01:26:16
37,"team816 重庆市育才中学",9,42:26:16,,"01:15:16 (-4)",(-2),"03:08:18 (-15)","01:17:48 (-4)",00:25:35,(-1),"01:40:18 (-1)","04:54:07 (-2)","04:59:53 (-39)","00:17:00 (-5)",,01:08:01
38,"team383 华南师范大学附属中学",8,13:07:51,,"01:18:51 (-3)",,01:49:08,"01:12:10 (-1)",00:30:59,,00:52:48,,"03:30:18 (-4)","00:16:56 (-1)",,00:36:41
39,"team418 湘潭大学",8,13:56:11,,"00:33:17 (-2)",,02:13:56,(-31),01:02:40,03:45:28,01:49:05,,03:03:42,00:28:17,,00:19:46
40,"team619 绍兴一中",8,15:58:43,,"02:32:18 (-1)",,"02:35:20 (-1)","01:58:36 (-2)",00:25:39,,"01:59:34 (-2)",,03:24:16,00:10:16,,00:52:44
41,"team304 北京邮电大学",8,16:17:24,,"03:06:20 (-6)",(-2),01:49:06,03:21:03,00:43:18,,01:05:22,(-2),"03:05:08 (-2)",00:17:57,,00:09:10
42,"team1046 湖南师范大学附属中学",8,16:37:02,,"01:50:08 (-3)",,"01:46:39 (-2)","00:47:35 (-1)","00:42:44 (-1)",,"03:05:03 (-5)",,02:47:49,00:23:01,,"00:54:03 (-1)"
43,"team691 华东师范大学",8,17:14:52,,00:35:55,,"02:54:42 (-3)","03:30:03 (-1)",01:10:40,,"02:03:50 (-1)",,04:21:03,00:09:34,,00:49:05
44,"team873 复旦大学",8,17:29:13,,"01:26:36 (-1)",,04:55:44,"02:30:40 (-2)",00:35:22,04:50:06,01:14:34,,,00:26:07,,00:30:04
45,"team011 华东师范大学",8,19:45:30,,"02:21:30 (-2)",,03:51:28,"03:10:06 (-3)","00:30:00 (-1)",,01:08:58,,"04:49:05 (-1)","00:42:00 (-1)",,00:32:23
46,"team112 南京外国语学校",8,19:53:21,,"00:43:20 (-6)",,"03:53:30 (-5)",,"01:07:36 (-3)",,"01:50:32 (-1)","01:55:24 (-1)","03:32:12 (-2)",00:17:06,,00:33:41
47,"team1002 杭州电子科技大学",8,19:56:41,,"01:21:31 (-4)",,"03:29:20 (-1)",02:26:18,00:42:33,,"03:50:08 (-1)",(-8),04:36:44,"00:32:08 (-2)",,00:17:59
48,"team571 深圳中学",8,20:23:49,,"01:55:01 (-8)",,"01:29:44 (-1)","02:14:01 (-2)",00:29:11,,(-2),"04:07:47 (-4)","03:16:55 (-3)","00:14:27 (-1)",,00:16:43
49,"team263 北京理工大学",8,20:27:05,,"01:21:31 (-4)",,03:40:17,"03:13:00 (-4)",01:16:30,04:42:22,01:51:52,,(-3),"00:23:44 (-1)",,00:57:49
50,"team413 武汉大学",8,21:11:58,,"01:10:29 (-1)",,"03:35:45 (-5)","04:49:28 (-13)",00:23:46,,00:36:46,"02:56:09 (-1)",(-15),"00:22:31 (-1)",,00:17:04
51,"team598 温州中学",8,21:15:36,,"01:53:29 (-5)",(-3),"01:01:49 (-6)","02:59:50 (-7)",01:08:51,,"01:35:11 (-4)",,"03:05:04 (-4)",00:15:18,,00:36:04
52,"team1031 金陵中学河西分校",8,22:03:32,,"02:59:04 (-2)",,"02:07:15 (-8)","01:54:48 (-6)",00:26:52,,02:10:34,,"04:20:16 (-6)",00:12:06,,00:32:37
53,"team303 北京邮电大学",8,22:31:24,,"02:49:56 (-3)",,"01:46:05 (-4)","04:10:38 (-2)",01:18:33,04:55:40,03:34:50,,(-1),00:09:43,,"00:25:59 (-1)"
54,"team1061 中山市中山纪念中学",8,22:34:59,,"02:14:53 (-6)",,"03:52:59 (-2)",(-11),"00:49:46 (-2)",,00:52:28,"04:02:52 (-1)","02:45:31 (-10)","00:20:01 (-1)",,00:16:29
55,"team121 南京外国语学校",8,24:25:17,,"02:37:44 (-4)",,"03:52:34 (-2)","03:27:04 (-4)",00:19:54,,"03:28:31 (-4)",,03:52:51,"00:27:58 (-2)",,00:58:41
56,"team382 华南师范大学附属中学",8,24:44:16,,"01:14:37 (-4)",,02:51:21,(-8),"01:22:19 (-4)",,02:46:47,"04:53:54 (-2)",(-11),"00:12:15 (-2)","04:13:29 (-7)",00:49:34
57,"team170 湖南师范大学",8,26:17:22,,"02:44:47 (-5)",,"03:00:12 (-2)","04:34:55 (-13)",00:44:23,,00:32:04,(-1),"02:52:24 (-13)",00:13:05,,00:35:32
58,"team106 南京外国语学校",8,28:29:31,,"02:27:19 (-5)",,"03:52:29 (-16)","02:24:04 (-4)","01:03:34 (-2)",,01:43:40,,"04:56:26 (-4)","00:17:06 (-1)",,"00:44:53 (-1)"
59,"team883 复旦大学",8,29:07:37,,"03:59:41 (-3)",,"03:44:16 (-3)","00:56:57 (-1)",02:51:24,"04:45:41 (-1)",04:14:07,,,02:54:43,,03:00:48
60,"team124 南京外国语学校",7,12:13:19,,"02:07:53 (-2)",,"01:10:41 (-5)","03:21:33 (-5)",00:23:52,,00:47:57,,(-8),00:10:07,,00:11:16
61,"team970 天津大学",7,14:10:10,,"00:39:38 (-2)",,"02:28:35 (-1)",(-22),"01:00:32 (-3)",,"01:16:38 (-2)",,"04:24:30 (-2)",00:11:28,,00:48:49
62,"team297 南方科技大学",7,15:01:49,"02:29:55 (-1)","03:38:19 (-6)",,,"01:09:53 (-3)","00:47:36 (-1)",,01:21:18,,,"00:44:33 (-2)",,00:30:15
63,"team115 南京外国语学校",7,15:14:45,,"02:00:44 (-7)",,"03:04:12 (-1)",(-7),"00:37:20 (-2)",,01:04:28,"04:19:11 (-1)",,00:18:28,,00:10:22
64,"team264 北京理工大学",7,15:16:41,,"02:09:03 (-4)",,"03:36:38 (-1)",(-7),00:21:32,,01:51:48,,04:42:33,"00:27:48 (-1)",,00:07:19
65,"team296 南方科技大学",7,15:27:03,,"02:17:04 (-5)",,"01:00:46 (-5)",(-1),"01:01:13 (-1)",,"01:58:11 (-1)",,03:50:58,00:42:42,,00:36:09
66,"team384 华南师范大学附属中学",7,16:41:47,,"01:56:11 (-1)",,"03:58:46 (-1)","03:35:18 (-3)","00:58:36 (-1)",,"02:32:47 (-1)",,,"00:35:49 (-1)",,00:24:20
67,"team684 南京大学",7,16:54:42,,"01:36:21 (-6)",(-11),01:44:50,"02:53:35 (-3)",00:27:32,,"04:54:26 (-2)",,(-8),"00:35:25 (-1)",,00:42:33
68,"team869 香港大学",7,17:06:56,,01:51:00,,,"03:46:09 (-13)","00:58:37 (-1)",,01:26:20,,02:58:20,"00:39:57 (-1)",,00:26:33
69,"team875 复旦大学",7,17:12:28,,"01:28:21 (-1)",,,"04:58:23 (-2)","00:19:56 (-1)",,01:24:33,,"04:22:53 (-7)","00:23:27 (-1)",,00:14:55
70,"team333 同济大学",7,18:13:26,,"01:52:19 (-3)",,,"03:44:19 (-6)","00:56:53 (-1)",,02:23:25,,"04:13:24 (-2)",00:17:45,,00:45:21
71,"team1028 广东工业大学",7,18:14:36,03:40:36,"02:19:18 (-2)",,"04:30:13 (-3)",,02:38:29,,"01:57:09 (-1)",,,"00:19:58 (-2)",,00:08:53
72,"team851 华中科技大学",7,18:17:45,,"03:02:40 (-7)",,"04:01:18 (-4)","03:23:47 (-2)",00:39:47,,01:32:42,,(-2),"00:22:49 (-1)",,00:34:42
73,"team715 吉林大学",7,19:00:18,,"03:57:32 (-4)",,"02:39:40 (-1)",(-4),"00:54:08 (-2)",,01:07:47,,"04:19:37 (-3)","00:47:24 (-1)",,01:34:10
74,"team679 南京大学",7,19:05:16,,"03:27:25 (-6)",,"02:41:08 (-1)",(-3),00:39:31,,"02:52:58 (-3)",,"03:56:43 (-1)","00:20:56 (-1)",,01:06:35
75,"team879 复旦大学",7,19:28:02,,"03:43:39 (-8)",,,"03:15:35 (-4)","00:35:55 (-1)",(-1),01:10:14,,"04:33:08 (-3)",00:28:45,,00:20:46
76,"team536 电子科技大学",7,19:59:36,,"01:39:01 (-1)",,,"04:53:16 (-15)","00:38:32 (-1)",,01:30:17,,"04:06:17 (-1)","00:23:19 (-1)",,00:28:54
77,"team295 南方科技大学",7,20:01:16,,"02:06:38 (-1)",,"04:39:52 (-3)","04:14:01 (-1)",00:48:25,,03:12:05,,,"01:02:27 (-3)",,"00:57:48 (-1)"
78,"team388 华南师范大学附属中学",7,21:10:15,,"04:41:46 (-10)",,"04:22:42 (-2)","02:34:40 (-3)",00:37:32,,"03:08:09 (-1)",,,00:09:10,,00:16:16
79,"team535 电子科技大学",7,21:27:41,,"02:14:06 (-5)",,"03:49:49 (-12)",(-3),"01:06:58 (-2)",,01:44:34,,04:59:34,00:22:21,,00:50:19
80,"team758 武汉科技大学",7,22:30:54,,"03:59:48 (-15)",,02:10:18,"01:11:43 (-4)","01:53:33 (-2)",,,,04:27:07,"00:41:46 (-2)",,00:26:39
81,"team812 重庆市育才中学",7,25:08:07,,"02:48:35 (-6)",,,"03:57:26 (-24)","01:24:30 (-2)",,03:44:52,"00:31:10 (-1)",,"00:22:21 (-1)",,00:59:13
82,"team480 长沙市长郡中学",7,28:42:52,,"04:18:37 (-10)",,,,"01:44:57 (-6)",,"03:07:47 (-1)",04:37:21,"04:03:00 (-7)","00:37:10 (-1)",,01:54:00
83,"team103 南京外国语学校",7,86:48:51,"04:53:02 (-186)","00:38:59 (-10)",,"02:37:24 (-9)","00:24:46 (-7)","03:12:29 (-4)",,,,(-1),"00:50:03 (-3)",(-5),01:12:08
84,"team617 绍兴一中",6,07:18:07,,"01:20:46 (-2)",,,"03:34:31 (-1)",00:22:39,,00:45:10,,,00:09:01,,00:06:00
85,"team750 南京理工大学",6,08:19:21,,01:13:06,,,"03:01:32 (-4)",00:37:36,,01:27:30,,,00:24:56,,00:14:41
86,"team905 北京大学",6,10:05:13,,"02:21:15 (-6)",,01:27:08,,00:44:49,,01:09:03,,,"00:37:07 (-1)",,01:25:51
87,"team872 复旦大学",6,10:34:21,,01:58:36,,04:05:24,(-8),00:53:38,,"01:40:11 (-1)",,,00:24:42,,01:11:50
88,"team531 电子科技大学",6,11:12:51,00:54:52,"03:54:24 (-5)",,,(-3),"01:14:26 (-1)",,01:59:28,,,"00:14:57 (-1)",,00:34:44
89,"team212 浙江理工大学",6,11:39:12,,"01:35:29 (-3)",,(-4),"03:47:03 (-2)","01:02:25 (-1)",,02:26:48,,,00:14:05,,00:33:22
90,"team877 复旦大学",6,11:41:59,,01:22:02,,,,00:39:05,,04:55:26,,"03:21:31 (-2)",00:19:00,,00:24:55
91,"team577 南京理工大学",6,11:47:15,(-1),"02:45:14 (-2)",,(-2),03:29:20,"00:47:07 (-2)",,"01:47:40 (-1)",,,00:15:50,,01:02:04
92,"team622 海亮高级中学",6,11:52:49,,"01:43:28 (-7)",,,(-11),00:53:01,,01:23:41,,"03:41:37 (-1)",00:29:39,,01:01:23
93,"team876 复旦大学",6,11:54:39,,01:37:13,,,,00:41:34,"02:56:21 (-1)","04:29:08 (-1)",,,"00:21:19 (-1)",,00:49:04
94,"team880 复旦大学",6,12:06:41,,"01:43:29 (-1)",,,,00:38:03,02:57:52,,,"04:50:44 (-1)",00:21:23,,00:55:10
95,"team370 浙大城市学院",6,12:07:10,,"02:29:04 (-2)",,(-3),(-11),01:01:34,,01:49:59,,03:50:08,"00:20:49 (-2)",,01:15:36
