Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011
1,"team611 衢州第二中学",11,13:25:56,00:06:34,"01:23:24 (-1)","00:18:04 (-2)",00:32:46,"00:21:22 (-1)",03:26:48,00:54:15,00:51:11,02:19:24,01:28:08,00:24:00
2,"team101 南京外国语学校",10,14:59:57,"00:26:50 (-5)",01:27:02,"00:37:53 (-1)",00:46:36,01:20:06,(-1),00:10:43,02:11:41,"02:10:34 (-1)",01:27:18,"01:01:14 (-3)"
3,"team956 杭州第二中学",10,15:14:18,"00:22:49 (-1)","00:45:14 (-2)","00:54:02 (-1)",00:24:59,00:58:48,,00:54:20,01:36:19,03:05:03,02:15:06,"02:17:38 (-1)"
4,"team104 南京外国语学校",10,16:06:48,"00:15:47 (-1)","00:48:54 (-5)",00:12:16,00:22:25,"00:36:44 (-1)",,00:24:58,"02:14:53 (-2)",03:28:25,"02:46:58 (-1)",01:35:28
5,"team102 南京外国语学校",10,17:23:50,"00:18:47 (-2)","01:14:51 (-3)",00:16:41,00:24:52,01:35:12,(-2),"01:28:33 (-2)","02:55:11 (-1)",02:21:58,"02:38:27 (-2)","00:29:18 (-1)"
6,"team1049 长沙市长郡中学",10,18:44:58,00:21:51,"02:41:41 (-2)",00:12:40,00:31:14,01:12:08,,00:43:51,02:49:11,"03:58:37 (-5)",02:08:54,"01:24:51 (-1)"
7,"team123 南京外国语学校",10,19:20:05,"00:24:36 (-1)",01:46:48,00:15:39,00:31:59,"01:26:28 (-3)",,"01:03:45 (-1)","03:16:53 (-1)","02:54:22 (-2)",02:58:36,02:00:59
8,"team951 杭州第二中学",10,21:32:42,00:22:35,00:21:12,"00:56:49 (-2)",01:12:54,"01:52:45 (-2)",(-1),00:38:00,"01:49:28 (-1)","04:29:15 (-10)","01:28:21 (-4)","01:21:23 (-2)"
9,"team1046 湖南师范大学附属中学",10,21:52:55,"00:45:01 (-2)","01:51:22 (-1)",00:33:32,00:41:49,01:07:19,,00:18:34,"03:15:23 (-1)","04:05:09 (-1)",04:54:13,"01:40:33 (-3)"
10,"team953 杭州第二中学",10,22:43:43,"00:36:20 (-1)",00:46:28,"00:22:19 (-2)",00:10:35,00:51:36,(-12),"01:04:58 (-2)","02:35:17 (-11)","04:18:25 (-3)","03:21:31 (-1)","01:36:14 (-1)"
11,"team901 北京大学",10,24:25:30,"00:09:40 (-1)",01:49:23,"02:00:52 (-4)","00:34:56 (-1)",02:03:54,,02:19:22,"02:50:37 (-1)","04:24:00 (-1)","03:28:37 (-2)","00:44:09 (-2)"
12,"team304 北京邮电大学",10,29:35:33,00:41:13,"03:40:01 (-3)","00:43:12 (-1)",01:04:58,"01:54:48 (-3)",(-4),01:50:16,"02:30:50 (-1)","04:43:06 (-3)",04:38:41,"03:28:28 (-2)"
