Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011
1,"team301 南京外国语学校",11,16:21:17,00:05:37,00:35:53,02:08:18,01:21:08,"00:27:04 (-2)",01:05:15,"01:12:06 (-6)","00:58:27 (-1)",02:05:30,00:26:26,"02:15:33 (-2)"
2,"team948 杭州第二中学",11,16:23:47,00:01:47,00:06:26,02:25:38,"00:36:37 (-2)",00:58:41,00:22:43,"01:24:54 (-5)",00:25:55,"02:31:00 (-3)",00:30:58,"03:19:08 (-1)"
3,"team786 绍兴一中",10,11:55:25,"00:28:35 (-2)",00:31:11,01:07:25,00:42:21,00:49:47,00:34:22,"02:00:15 (-1)",00:20:14,,"00:22:50 (-1)","02:38:25 (-3)"
4,"team1121 湖南师范大学附属中学",10,18:59:03,"00:16:37 (-3)",00:11:34,"02:08:34 (-2)","00:47:56 (-1)",01:06:42,00:30:14,"03:45:23 (-6)","01:29:27 (-1)",(-1),00:25:46,"02:56:50 (-3)"
5,"team1098 金陵中学河西分校",10,21:08:26,00:02:16,00:10:34,"01:29:09 (-1)",01:05:42,01:58:35,00:26:43,"02:37:13 (-23)",01:00:50,,00:15:39,"03:41:45 (-1)"
6,"team1063 佛山市南海区石门中学",10,21:50:26,00:03:38,"00:22:21 (-2)","03:02:39 (-3)",00:33:11,"02:06:07 (-2)",00:12:09,"02:42:58 (-1)","01:27:35 (-3)",,00:26:01,"04:53:47 (-7)"
7,"team945 杭州第二中学",10,24:18:42,00:02:33,00:11:48,"02:17:12 (-20)",00:20:09,02:53:43,"01:06:19 (-1)","02:48:53 (-3)",00:55:19,,"00:24:59 (-1)","04:37:47 (-1)"
8,"team071 北京理工大学",10,25:12:04,"00:08:26 (-1)",00:25:47,"02:06:23 (-1)","00:47:52 (-1)","02:33:32 (-2)",00:38:05,"04:31:46 (-19)",01:13:54,(-1),00:36:10,04:10:09
9,"team1056 中国人民大学附属中学",10,33:13:00,"00:07:05 (-1)",00:16:00,"02:50:44 (-1)",01:02:05,"02:47:52 (-2)",00:36:56,"02:20:02 (-33)","02:51:40 (-6)",,00:25:03,"04:15:33 (-4)"
10,"team305 南京外国语学校",10,37:35:03,00:03:53,"00:18:04 (-2)","01:03:24 (-3)",00:50:28,"02:56:10 (-5)",00:31:48,03:13:38,"03:43:16 (-18)",,00:24:23,"04:29:59 (-32)"
11,"team419 北京邮电大学",10,39:56:28,00:05:24,"00:49:29 (-1)",01:44:17,00:52:07,"03:34:24 (-8)",00:41:02,"04:55:35 (-49)","02:20:15 (-1)",,00:23:28,"04:10:27 (-2)"
12,"team297 长沙市长郡中学",9,10:25:22,00:11:26,00:37:27,00:27:36,00:13:10,"02:30:56 (-1)",00:13:40,04:10:17,01:01:29,,00:39:21,
13,"team676 南方科技大学",9,13:34:19,00:07:04,"00:27:28 (-1)",02:12:01,"01:20:25 (-2)","03:22:38 (-2)",00:34:38,02:20:13,01:12:24,,00:17:28,
14,"team028 东北大学",9,14:43:05,00:04:37,00:38:46,"02:32:44 (-1)",00:21:23,"03:26:42 (-2)",01:01:55,"03:08:26 (-1)",01:24:03,,00:44:29,(-6)
15,"team314 南京外国语学校",9,15:51:22,"00:02:53 (-1)","01:24:10 (-7)","00:15:44 (-1)","00:25:28 (-1)","01:16:42 (-1)","00:46:38 (-2)","02:59:30 (-4)",02:19:49,,00:40:28,
16,"team823 北京大学",9,16:37:38,"00:54:54 (-1)",01:07:55,"02:20:24 (-1)",01:30:06,02:36:19,01:14:19,03:20:21,01:52:27,,01:00:53,
17,"team316 南京外国语学校",9,19:48:59,00:04:23,"01:50:07 (-1)","03:41:36 (-5)",00:38:02,"02:14:18 (-1)","00:44:27 (-1)",03:19:12,"02:42:55 (-5)",,00:13:59,
18,"team944 杭州第二中学",9,21:13:39,00:06:23,"00:22:18 (-1)",(-5),00:27:03,"04:06:50 (-14)",00:36:06,04:11:31,01:14:51,,00:11:46,04:56:51
19,"team298 长沙市长郡中学",9,21:20:45,"00:11:15 (-3)","00:37:18 (-1)","03:30:21 (-11)","01:44:46 (-2)",02:17:49,00:13:26,04:46:05,01:40:35,,00:39:10,
20,"team798 衢州第二中学",9,21:21:04,"00:05:27 (-1)","01:11:23 (-3)","01:36:18 (-10)","00:55:05 (-1)","03:39:00 (-2)",01:05:47,"04:20:13 (-6)",00:37:50,,00:10:01,
21,"team849 香港中文大学（深圳）",9,21:51:24,"00:10:19 (-1)",00:43:37,04:13:50,01:28:03,"04:11:37 (-1)",01:06:08,"04:55:33 (-4)","02:13:46 (-1)",,00:28:31,
22,"team974 中山市中山纪念中学",9,22:06:46,"00:10:36 (-2)",00:55:36,01:34:55,"02:55:43 (-3)","02:29:35 (-2)",00:25:35,"03:54:58 (-4)","04:13:38 (-2)",,01:06:10,
23,"team1139 吉林大学",9,24:07:35,00:09:05,01:03:38,04:18:15,01:17:51,"03:36:11 (-8)","01:17:21 (-2)","03:37:52 (-8)","01:58:05 (-1)",,00:29:17,
24,"team183 南京大学",9,25:54:58,00:05:32,"00:38:30 (-1)","03:15:47 (-3)",01:02:47,"01:40:38 (-2)",00:18:09,"03:44:19 (-33)","01:04:42 (-2)",,00:24:34,
25,"team788 绍兴一中",9,26:42:30,00:05:17,"00:35:58 (-1)","02:41:22 (-5)",00:36:02,"02:07:39 (-1)",00:23:14,"03:58:21 (-33)","01:20:22 (-3)",,00:34:15,
26,"team561 电子科技大学",9,27:17:09,"00:20:28 (-1)",00:53:27,"02:47:24 (-1)","01:40:12 (-1)",03:35:48,00:18:10,"04:46:39 (-19)","03:38:49 (-3)",,"00:36:12 (-1)",
27,"team560 电子科技大学",9,27:55:02,00:08:04,00:47:28,02:37:49,01:10:47,04:23:31,00:29:52,"04:47:18 (-24)","04:23:53 (-2)",,00:26:20,
28,"team910 国防科技大学",9,28:13:33,00:10:12,"00:26:27 (-1)","03:31:26 (-2)",01:07:28,"02:06:14 (-3)",00:46:23,"04:13:20 (-28)","03:07:26 (-2)",,00:44:37,(-1)
29,"team580 哈尔滨工业大学",9,34:31:56,"00:27:54 (-1)","00:37:24 (-1)","04:56:54 (-4)",00:55:20,"03:50:33 (-2)","01:23:33 (-2)","04:30:49 (-31)","03:10:21 (-1)",(-4),"00:19:08 (-1)",
